Product name,Product description,Product Price,Vendor,No.of Sales,Ratings/5,Category,Product link
Technoit | IT Solutions & Business Services Multipurpose Responsive Website Template,"Technoit is a modern, clean, and responsive multipurpose Bootstrap 5 template for startup digital agencies, SEO agencies, web developers, online marketers, web design, software solutions",38,zrthemes,438,4.3,html5,https://www.templatemonster.com/website-templates/technoit-it-solutions-amp-business-services-multipurpose-responsive-website-template-364514.html
Gravity - Multi-Purpose HTML Template,Gravity's 1000+ easy to use and customizable UI elements make it most customizable theme on the market. Build websites like a Lego. Every element can be modified for any kind of project.,41,GWorld,326,3.7,html5,https://www.templatemonster.com/website-templates/gravity-multi-purpose-html-template-195940.html
Multipurpose Intense - #1 HTML Bootstrap Website Template,"Intense is a fully-featured, multipurpose website template. It comes loaded with literally everything your website needs.",49,ZEMEZ,4320,4.4,html5,https://www.templatemonster.com/intense-multipurpose-html-template.html
Flex-IT | Business Services &  IT Solutions Multipurpose HTML5 Responsive Website Template,"Flex-IT is a modern and responsive HTML 5 multipurpose Bootstrap 5 template that can serve startup digital agencies, SEO agencies, web development, and online marketing services.",39,AminThemes,446,5.0,html5,https://www.templatemonster.com/website-templates/flex-it-business-services-amp-it-solutions-multipurpose-responsive-website-template-297700.html
Techida - Business Services Company & IT Solutions Multipurpose Responsive Website Template,"Empower business success with techida, Innovation and functionality meet in this meticulously crafted HTML template.",29,erramix,230,5.0,html5,https://www.templatemonster.com/website-templates/techida-it-solutions-business-services-responsive-html5-bootstrap5-template-336927.html
Monstroid2 - Multipurpose Premium HTML5 Website Template,"A multipurpose premium HTML5 website template provides everything necessary for successful website creation. Nowadays, any company must have a well-designed website.",31,ZEMEZ,1910,4.4,html5,https://www.templatemonster.com/website-templates/monstroid2.html
Lead Planner - Business Coach HTML5 Website Template,"Discover how our business coach HTML5 website template, Lead Planner, can boost your mentoring and help you sell courses effectively.",31,ZEMEZ,89,4.4,html5,https://www.templatemonster.com/website-templates/lead-planner-business-coach-html5-website-template-346791.html
PYXEL - Online Gaming & eSports HTML5 Website Template,"PYXEL - Ultimate Gaming HTML Template: Stunning design, responsive layouts, game showcases, player profiles, live streaming, and eSports features.",21,uiparadox,9,4.4,html5,https://www.templatemonster.com/website-templates/pyxel-online-gaming-amp-esports-html5-website-template-439515.html
"Visualize the World of Anime, Manga, and Movies with Visual - Your Ultimate Streaming HTML Template",Unleash Anime Marvels. Dive into Manga Mysteries. Explore Cinematic Bliss. 'Visual' - Your Ultimate Streaming HTML Template.,19,uiparadox,22,4.4,html5,https://www.templatemonster.com/website-templates/visualize-the-world-of-anime-manga-and-movies-with-visual-your-ultimate-streaming-html-template-349197.html
Techvio - IT Solutions & Business Services Multipurpose HTML5 Website Template,"This template is designed for IT solutions companies, IT consulting, information security companies and any other technology IT related company. It is fully responsive and user friendly website.",39,CuteThemes,493,3.3,html5,https://www.templatemonster.com/website-templates/techvio-it-solutions-amp-business-services-website-template-187467.html
Thunder Pro: Your Ultimate Weather Forecast HTML Template,"Thunder Pro is a dynamic weather forecast HTML template with pre-designed weather charts and news section. Fully responsive and customizable, it's perfect for weather apps, websites, and news...",19,uiparadox,20,4.4,html5,https://www.templatemonster.com/website-templates/thunder-pro-weather-forecast-template-330896.html
Educate - Online Education & Courses HTML Website Template,"Create a dynamic online education platform with our versatile Multipurpose Educational HTML Template. Elevate your online presence today!""",24,uiparadox,73,4.4,html5,https://www.templatemonster.com/website-templates/educate-online-education-amp-courses-html-website-template-370044.html
"Book Store - Multipurpose Books,  E-Books, Novels and Manga HTML5 Website Template",Book Store : Elevate your online bookshop with our versatile HTML template. Your customers deserve the best!,16,uiparadox,16,4.4,html5,https://www.templatemonster.com/website-templates/book-store-multipurpose-books-e-books-novels-and-manga-html5-website-template-366307.html
Crafter - Multipurpose Modern Bootstrap 5 Website Template,"Crafter is a miniflagman HTML template that includes 8 themes filled with pre-developed pages, UI blocks, design options and so on.",31,ZEMEZ,54,4.4,html5,https://www.templatemonster.com/website-templates/85228.html
Nuxus - IT Solutions $ Digital Agency HTML5 Website Template,"The Nuxus - Digital Agency HTML Template is a premium, highly customizable template designed for digital marketing agencies and creative professionals. Fully responsive design",22,uiparadox,25,4.4,html5,https://www.templatemonster.com/website-templates/nuxus-it-solutions-digital-agency-html5-website-template-439514.html
Soccer Club: Premium Football Sports HTML Template for Dynamic Teams,"Create a dynamic soccer club website with our template: match schedules, player profiles, live scores, and fan engagement, all fully customizable!",19,uiparadox,18,4.4,html5,https://www.templatemonster.com/website-templates/soccer-club-premium-football-sports-html-template-for-dynamic-teams-432122.html
